model,organ,metric,value,rank
MedNeXt,Average,DSC,89.2,🏆
MedFormer,Average,DSC,89.0,🏆
STU-Net-B,Average,DSC,89.0,3
nnU-Net U-Net,Average,DSC,88.9,4
nnU-Net ResEncL,Average,DSC,88.8,5
UniSeg,Average,DSC,88.8,6
Diff-UNet,Average,DSC,88.5,7
LHU-Net,Average,DSC,88.0,8
NexToU,Average,DSC,87.8,9
SegVol,Average,DSC,87.1,10
U-Net & CLIP,Average,DSC,87.1,11
Swin UNETR & CLIP,Average,DSC,86.7,12
UNesT,Average,DSC,84.9,13
Swin UNETR,Average,DSC,84.8,14
UNETR,Average,DSC,83.3,15
UCTransNet,Average,DSC,81.1,16
SAM-Adapter,Average,DSC,73.4,17
UCTransNet,Aorta,DSC,86.5,🏆
NexToU,Aorta,DSC,86.4,🏆
MedNeXt,Aorta,DSC,83.1,3
nnU-Net U-Net,Aorta,DSC,82.8,4
UniSeg,Aorta,DSC,82.3,5
MedFormer,Aorta,DSC,82.1,6
STU-Net-B,Aorta,DSC,82.1,7
nnU-Net ResEncL,Aorta,DSC,81.4,8
Diff-UNet,Aorta,DSC,81.2,9
SegVol,Aorta,DSC,80.2,10
LHU-Net,Aorta,DSC,79.5,11
Swin UNETR & CLIP,Aorta,DSC,78.1,12
UNesT,Aorta,DSC,77.7,13
Swin UNETR,Aorta,DSC,77.2,14
U-Net & CLIP,Aorta,DSC,77.1,15
UNETR,Aorta,DSC,76.5,16
SAM-Adapter,Aorta,DSC,62.8,17
STU-Net-B,Gallbladder,DSC,85.5,🏆
MedFormer,Gallbladder,DSC,85.3,🏆
MedNeXt,Gallbladder,DSC,85.3,3
nnU-Net ResEncL,Gallbladder,DSC,84.9,4
nnU-Net U-Net,Gallbladder,DSC,84.7,5
UniSeg,Gallbladder,DSC,84.7,6
LHU-Net,Gallbladder,DSC,83.9,7
Diff-UNet,Gallbladder,DSC,83.8,8
NexToU,Gallbladder,DSC,82.3,9
U-Net & CLIP,Gallbladder,DSC,82.1,10
Swin UNETR & CLIP,Gallbladder,DSC,80.2,11
SegVol,Gallbladder,DSC,79.3,12
UCTransNet,Gallbladder,DSC,77.8,13
Swin UNETR,Gallbladder,DSC,76.9,14
UNesT,Gallbladder,DSC,75.1,15
UNETR,Gallbladder,DSC,74.7,16
SAM-Adapter,Gallbladder,DSC,49.4,17
Diff-UNet,KidneyL,DSC,91.9,🏆
MedFormer,KidneyL,DSC,91.9,2
nnU-Net ResEncL,KidneyL,DSC,91.9,3
STU-Net-B,KidneyL,DSC,91.9,4
nnU-Net U-Net,KidneyL,DSC,91.9,5
LHU-Net,KidneyL,DSC,91.8,6
MedNeXt,KidneyL,DSC,91.8,7
SegVol,KidneyL,DSC,91.8,8
UniSeg,KidneyL,DSC,91.5,9
U-Net & CLIP,KidneyL,DSC,91.1,10
Swin UNETR & CLIP,KidneyL,DSC,91.0,11
UNesT,KidneyL,DSC,90.1,12
Swin UNETR,KidneyL,DSC,89.7,13
NexToU,KidneyL,DSC,89.6,14
UNETR,KidneyL,DSC,89.2,15
SAM-Adapter,KidneyL,DSC,87.3,16
UCTransNet,KidneyL,DSC,86.9,17
Diff-UNet,KidneyR,DSC,92.8,🏆
MedFormer,KidneyR,DSC,92.8,2
nnU-Net U-Net,KidneyR,DSC,92.7,3
MedNeXt,KidneyR,DSC,92.6,4
nnU-Net ResEncL,KidneyR,DSC,92.6,5
LHU-Net,KidneyR,DSC,92.5,6
STU-Net-B,KidneyR,DSC,92.5,7
SegVol,KidneyR,DSC,92.5,8
UniSeg,KidneyR,DSC,92.2,9
U-Net & CLIP,KidneyR,DSC,91.9,10
Swin UNETR & CLIP,KidneyR,DSC,91.7,11
UNesT,KidneyR,DSC,90.9,12
SAM-Adapter,KidneyR,DSC,90.4,13
NexToU,KidneyR,DSC,90.1,14
UNETR,KidneyR,DSC,90.1,15
Swin UNETR,KidneyR,DSC,89.8,16
UCTransNet,KidneyR,DSC,86.5,17
MedFormer,Liver,DSC,96.4,🏆
MedNeXt,Liver,DSC,96.3,2
nnU-Net ResEncL,Liver,DSC,96.3,3
LHU-Net,Liver,DSC,96.2,4
nnU-Net U-Net,Liver,DSC,96.2,5
Diff-UNet,Liver,DSC,96.2,6
STU-Net-B,Liver,DSC,96.2,7
UniSeg,Liver,DSC,96.1,8
U-Net & CLIP,Liver,DSC,96.0,9
SegVol,Liver,DSC,96.0,10
Swin UNETR & CLIP,Liver,DSC,95.8,11
NexToU,Liver,DSC,95.7,12
SAM-Adapter,Liver,DSC,94.1,13
UNesT,Liver,DSC,95.3,14
Swin UNETR,Liver,DSC,95.2,15
UNETR,Liver,DSC,95.0,16
UCTransNet,Liver,DSC,93.6,17
MedNeXt,Pancreas,DSC,83.3,🏆
STU-Net-B,Pancreas,DSC,83.2,2
MedFormer,Pancreas,DSC,83.1,3
nnU-Net ResEncL,Pancreas,DSC,82.9,4
UniSeg,Pancreas,DSC,82.7,5
nnU-Net U-Net,Pancreas,DSC,82.3,6
Diff-UNet,Pancreas,DSC,81.9,7
LHU-Net,Pancreas,DSC,81.0,8
U-Net & CLIP,Pancreas,DSC,80.8,9
Swin UNETR & CLIP,Pancreas,DSC,80.2,10
NexToU,Pancreas,DSC,80.2,11
SegVol,Pancreas,DSC,79.1,12
UNesT,Pancreas,DSC,76.2,13
Swin UNETR,Pancreas,DSC,75.6,14
UNETR,Pancreas,DSC,72.3,15
UCTransNet,Pancreas,DSC,59.0,16
SAM-Adapter,Pancreas,DSC,50.2,17
STU-Net-B,Postcava,DSC,81.3,🏆
MedNeXt,Postcava,DSC,81.3,🏆
UniSeg,Postcava,DSC,81.2,3
nnU-Net U-Net,Postcava,DSC,81.0,4
Diff-UNet,Postcava,DSC,80.8,5
MedFormer,Postcava,DSC,80.7,6
nnU-Net ResEncL,Postcava,DSC,80.5,7
LHU-Net,Postcava,DSC,79.4,8
U-Net & CLIP,Postcava,DSC,78.5,9
NexToU,Postcava,DSC,78.1,10
SegVol,Postcava,DSC,77.8,11
Swin UNETR & CLIP,Postcava,DSC,76.8,12
Swin UNETR,Postcava,DSC,75.4,13
UNesT,Postcava,DSC,74.4,14
UNETR,Postcava,DSC,71.5,15
UCTransNet,Postcava,DSC,68.1,15
SAM-Adapter,Postcava,DSC,48.0,17
MedFormer,Spleen,DSC,95.5,🏆
nnU-Net ResEncL,Spleen,DSC,95.2,2
MedNeXt,Spleen,DSC,95.2,3
nnU-Net U-Net,Spleen,DSC,95.1,4
STU-Net-B,Spleen,DSC,95.1,5
Diff-UNet,Spleen,DSC,95.0,6
LHU-Net,Spleen,DSC,94.9,7
UniSeg,Spleen,DSC,94.9,8
SegVol,Spleen,DSC,94.5,9
NexToU,Spleen,DSC,94.7,10
U-Net & CLIP,Spleen,DSC,94.3,11
Swin UNETR & CLIP,Spleen,DSC,94.1,12
UNesT,Spleen,DSC,93.2,13
Swin UNETR,Spleen,DSC,92.7,14
UNETR,Spleen,DSC,91.7,15
SAM-Adapter,Spleen,DSC,90.5,16
UCTransNet,Spleen,DSC,90.2,17
STU-Net-B,Stomach,DSC,93.5,🏆
MedNeXt,Stomach,DSC,93.5,2
nnU-Net ResEncL,Stomach,DSC,93.4,3
MedFormer,Stomach,DSC,93.4,4
UniSeg,Stomach,DSC,93.3,5
nnU-Net U-Net,Stomach,DSC,93.3,6
Diff-UNet,Stomach,DSC,93.1,7
LHU-Net,Stomach,DSC,93.0,8
NexToU,Stomach,DSC,92.7,9
