model,organization,average_dsc,parameters,inference_speed,paper,code,checkpoint
MedNeXt,DKFZ,89.2,61.8M,★☆☆☆☆,https://arxiv.org/pdf/2303.09975,https://github.com/MIC-DKFZ/MedNeXt,
MedFormer,Rutgers,89.0,38.5M,★★★☆☆,https://arxiv.org/abs/2203.00131,https://github.com/yhygao/CBIM-Medical-Image-Segmentation,
STU-Net-B,Shanghai AI Lab,89.0,58.3M,★★☆☆☆,https://arxiv.org/pdf/2304.06716,https://github.com/uni-medical/STU-Net,
nnU-Net U-Net,DKFZ,88.9,102.0M,★★★★☆,https://arxiv.org/abs/1809.10486,https://github.com/MIC-DKFZ/nnUNet,
nnU-Net ResEncL,DKFZ,88.8,102.0M,★★★★☆,https://arxiv.org/abs/1809.10486,https://github.com/MIC-DKFZ/nnUNet,
UniSeg,NPU,88.8,31.0M,☆☆☆☆☆,https://arxiv.org/abs/2304.03493,https://github.com/yeerwen/UniSeg,
Diff-UNet,HKUST,88.5,434.0M,★★★☆☆,https://arxiv.org/abs/2303.10326,https://github.com/ge-xing/Diff-UNet,
LHU-Net,UR,88.0,8.6M,★★★★★,https://arxiv.org/abs/2404.05102,https://github.com/xmindflow/LHUNet,
NexToU,HIT,87.8,81.9M,★★★★☆,https://arxiv.org/abs/2305.15911,https://github.com/PengchengShi1220/NexToU,
SegVol,BAAI,87.1,181.0M,★★★★☆,https://arxiv.org/abs/2311.13385,https://github.com/BAAI-DCAI/SegVol,
U-Net & CLIP,CityU,87.1,19.1M,★★★☆☆,https://arxiv.org/abs/2301.00785,https://github.com/ljwztc/CLIP-Driven-Universal-Model,
Swin UNETR & CLIP,CityU,86.7,62.2M,★★★☆☆,https://arxiv.org/abs/2301.00785,https://github.com/ljwztc/CLIP-Driven-Universal-Model,
UNesT,NVIDIA,84.9,87.2M,★★★★★,https://arxiv.org/abs/2303.10745,https://github.com/Project-MONAI/tutorials,
Swin UNETR,NVIDIA,84.8,72.8M,★★★★★,https://arxiv.org/abs/2211.11537,https://github.com/Project-MONAI/tutorials,
UNETR,NVIDIA,83.3,101.8M,★★★★★,https://arxiv.org/abs/2111.04004,https://github.com/Project-MONAI/tutorials,
UCTransNet,Northeastern University,81.1,68.0M,★★★★☆,https://arxiv.org/abs/2109.04335,https://github.com/McGregorWwww/UCTransNet,
SAM-Adapter,Duke,73.4,11.6M,★★★★☆,https://arxiv.org/abs/2404.09957,https://github.com/mazurowski-lab/finetune-SAM,
