name,aorta,gall_bladder,kidney_left,kidney_right,liver,pancreas,postcava,spleen,stomach
s0000,,,,,,,,,
s0001,0.9365394711494446,,0.9638333320617676,0.9629694223403932,0.9725317358970642,0.9142193794250488,0.8744150400161743,0.9813326597213744,0.971884548664093
s0002,,,,,,,,,
s0003,,,,,,,,,
s0006,0.9358460307121276,0.929699957370758,0.9639654755592346,0.948043167591095,0.9771066308021544,0.9082329869270324,0.940176486968994,0.9745905995368958,0.8417145013809204
s0009,0.9506831765174866,0.7664804458618164,0.9601319432258606,0.9677398204803468,0.9801542162895204,0.7498443126678467,0.924573540687561,0.9722049832344056,0.95236736536026
s0012,0.8835690021514893,,0.94500994682312,0.9442800879478456,0.9700133800506592,0.7678771615028381,0.9576169848442078,0.9711809158325196,0.7196793556213379
s0013,0.955827295780182,,0.9035537838935852,0.9351990222930908,0.9760673642158508,0.9276202917099,0.8422608375549316,0.9825304746627808,0.9601297974586488
s0014,0.9136725664138794,,0.9640761613845824,0.961497724056244,0.7362011075019836,0.83299320936203,0.7255703210830688,0.9634982347488404,0.4854768514633178
s0021,0.8295583724975586,,,,,,,,
s0022,0.958670437335968,0.9061567783355712,0.9539681673049928,0.9473080039024352,0.9710512161254884,0.8151739239692688,0.9281147122383118,0.9811418652534484,0.8893277049064636
s0025,,,,,,,,,
s0032,0.4075483977794647,,0.0,,0.1079076752066612,,0.0,0.0,0.0
s0034,0.937612533569336,,0.9358211755752563,0.9538799524307252,0.9559462666511536,0.8970906734466553,0.4970094561576843,,0.965696096420288
s0035,0.4982947111129761,,,,,,,,
s0036,0.0,,,,,,,,
s0037,0.2089272439479828,,0.4116946458816528,,0.9094167947769164,0.0,0.524612545967102,0.9010533094406128,0.2286943346261978
s0043,,,,,,,,,
s0044,0.7462746500968933,,,,,,,,
s0048,0.9458320736885072,,0.9588945508003236,0.9541192054748536,0.9763932824134828,0.8936160802841187,0.9211449027061462,0.9811797142028807,0.9314460754394532
s0049,0.486859917640686,,0.9145808219909668,0.6505863070487976,0.9776135087013244,0.8404231667518616,0.9033596515655518,0.978259265422821,0.9549838304519652
s0056,,,,,,,,,
s0061,0.3012816607952118,,,,,,,,
s0062,0.93007493019104,,0.5103611350059509,0.0,0.0275650843977928,,0.7588198781013489,,
s0063,0.0,,,,,,,,
s0066,0.8691710829734802,0.9247583746910096,0.9436444640159608,0.9521085619926452,0.976997971534729,0.8370298147201538,0.8538461327552795,0.96047705411911,0.9594681262969972
s0067,0.5666834712028503,,,,0.2650103569030761,,0.1116803288459777,,
s0068,0.6158759593963623,0.8784853219985962,0.6381574869155884,0.9039785861968994,0.9575110077857972,0.7384712100028992,0.615562915802002,0.7953620553016663,0.7241923213005066
s0071,0.8622577786445618,,0.9530203342437744,0.9403688907623292,0.982675075531006,0.8636233806610107,0.9429276585578918,0.9836603403091432,0.976939618587494
s0072,0.6882547736167908,,0.9301469326019288,0.919579803943634,0.9830345511436462,0.9444249868392944,0.8176751732826233,0.979570746421814,0.9448477625846864
s0074,0.622677743434906,,,,,,0.0150537630543112,,
s0079,0.2731670439243316,,,,,,,,
s0081,,,,,,,,,
s0083,0.7279119491577148,,,,0.6623416543006897,,0.7996391654014587,0.965112328529358,0.7413734197616577
s0084,0.5557399988174438,,,,0.8092105388641357,,0.9441012144088744,0.016806723549962,
s0085,0.4453120529651642,,,,0.8902496099472046,,0.4486644268035888,0.9785006642341614,0.6442417502403259
s0092,0.9259448647499084,0.9275111556053162,0.9616754055023192,0.9224217534065248,0.9744935035705566,0.9139752388000488,0.8644953370094299,0.9859479665756226,0.9536352157592772
s0098,0.9144887328147888,0.8260563611984253,0.9556820392608644,0.940834105014801,0.9763798713684082,0.9098756909370422,0.9193381667137146,0.9775209426879884,0.8671556711196899
s0099,,,,,,,,,
s0100,,,,,,,,,
s0101,,,,,,,,,
s0103,,,,,,,,,
s0104,0.3613273203372955,,,,,,0.5288065671920776,,
s0105,0.9631379246711732,,0.8850948214530945,0.9463250637054444,0.9394590854644777,0.8536984920501709,0.934825837612152,0.9554427862167358,
s0110,0.6863698363304138,,,,,,,,
s0112,0.4371737241744995,,,,,,,,
s0114,0.9331925511360168,,0.9406803250312804,0.9594386219978333,0.984186589717865,0.8214437365531921,0.9054092764854432,0.9811598658561708,0.9675012826919556
s0117,0.9297235608100892,0.9518784880638124,0.9521470665931702,0.9596081972122192,0.9724451899528505,0.8951709866523743,0.8958197236061096,0.9782123565673828,0.9341691732406616
s0122,,,,,,,,,
s0123,0.9132260680198668,0.9051591157913208,0.8424593806266785,0.969669759273529,0.981322944164276,0.9234841465950012,0.8459433317184448,0.9798171520233154,0.930612862110138
s0128,0.0,,,,0.6157655715942383,,0.1189063414931297,0.2300132513046264,0.000242365480517
s0129,0.5908746123313904,,,,0.8049351572990417,0.0,0.3914590775966644,,0.0064171124249696
s0130,0.0,,,,,,,,
s0131,0.891221284866333,0.9220566749572754,0.9604158401489258,0.8965339660644531,0.9715740084648132,0.9185166358947754,0.9052811861038208,0.9067678451538086,0.9747816324234008
s0132,0.0,,,,0.9657222032546996,0.442979484796524,0.3104607760906219,0.932030200958252,0.6785616278648376
s0136,,,,,,,,,
s0138,0.7646641731262207,0.0,0.8406482934951782,0.9476161003112792,0.95749431848526,0.0426993854343891,0.6522330641746521,0.8906654715538025,0.3009993731975555
s0140,,,,,,,,,
s0146,0.8559769988059998,,,,0.950012743473053,,0.8700721263885498,0.942834734916687,0.9272165298461914
s0149,,,,,,,,,
s0151,0.8607273101806641,0.9359296560287476,0.9668310284614564,0.9512905478477478,0.98177969455719,0.9150213599205016,0.8819185495376587,0.9721225500106812,0.8885207176208496
s0152,0.0037449286319315,,,,,,,,
s0154,0.0,,,,,,,,
s0156,0.8936976194381714,,0.9561805129051208,0.9530946612358092,0.980833888053894,0.9167858362197876,0.8799535036087036,0.9676791429519652,0.8539910912513733
s0159,,,,,,,,,
s0160,0.0036672379355877,,0.0015540015883743,,0.9150457382202148,0.0,0.3728368878364563,0.8479382991790771,0.6280152201652527
s0162,0.8136115670204163,,,,0.9652421474456788,,0.6930370330810547,0.97914057970047,0.9375283122062684
s0163,0.7944579720497131,,0.9560805559158324,0.9309926629066468,0.9834882020950316,0.8944379687309265,0.9572920799255372,0.9845964312553406,0.9597041606903076
s0165,0.0325511395931243,,0.7787802219390869,,0.9624344110488892,0.0109412707388401,0.4245176017284393,0.9632928371429444,0.5451335310935974
s0167,0.0,,,,,,,,
s0169,0.0222222227603197,,,,,,,,
s0170,0.6703517436981201,,,,,,,,
s0172,0.6092494130134583,,,,,,,,
s0174,0.780279815196991,0.871081531047821,0.9449628591537476,0.9158647656440736,0.979050874710083,0.8993076682090759,0.9291897416114808,0.9847446084022522,0.951385498046875
s0175,0.4685137867927551,,,,0.8651654124259949,,0.8040412068367004,0.7820436954498291,
s0179,0.7852393388748169,,0.7891910076141357,0.9410742521286012,0.961759388446808,0.2679791450500488,0.7190727591514587,0.9580612778663636,0.5623577833175659
s0181,0.0464142002165317,,,,,,,,
s0184,0.8805860877037048,,,,0.9719966650009156,0.4107176959514618,0.8896799087524414,0.9783546328544616,0.9517835378646852
s0185,0.0917248278856277,,,,,,,,
s0187,,,,,,,,,
s0188,0.8783376812934875,0.6793217658996582,0.9326171278953552,0.950798749923706,0.9573403000831604,0.5423051118850708,0.5110673308372498,,0.1844248622655868
s0191,0.7627664804458618,,0.912774622440338,0.9311968684196472,0.9633411169052124,0.687833309173584,0.8199368715286255,0.8050981163978577,0.8622788786888123
s0197,0.895226240158081,,0.9273489117622375,0.9399876594543456,0.9775185585021972,0.8522781133651733,0.906005084514618,0.9824770092964172,0.957177758216858
s0199,0.0334836579859256,,,,0.9596275687217712,0.0,0.5989211797714233,0.9476991891860962,0.5482149124145508
s0208,,,,,,,,,
s0209,0.0,,,,0.0,0.0,0.0,,0.0
s0215,0.0,,0.0,0.0,0.6235660910606384,,0.1671750247478485,0.8799816370010376,0.3410445153713226
s0216,0.8898847699165344,,,0.9128690958023072,0.9693783521652222,,0.6188355684280396,,
s0217,,,,,,,,,
s0219,0.0,,,,,,,,
s0220,0.0,,0.8972209692001343,0.9568803906440736,0.886450469493866,,0.4452627003192901,0.8902358412742615,0.322314977645874
s0221,0.9373015761375428,,0.84388667345047,0.8334476351737976,0.9386178255081176,0.1562678813934326,0.7977907657623291,,0.643212080001831
s0223,0.9174962639808656,,0.9575406908988952,,0.9750643968582152,0.746666669845581,0.7766008377075195,0.967998743057251,0.8666701316833496
s0226,0.0110738258808851,,,,,,,,
s0229,,,,,,,,,
s0230,0.7288281321525574,,,,0.9450840950012208,,0.5196389555931091,0.5792729258537292,0.0635840743780136
s0231,0.903751015663147,,0.933943510055542,0.928122580051422,0.9733644723892212,0.7286491990089417,0.9141936898231506,0.9764734506607056,0.6928014755249023
s0233,0.9639017581939696,,0.9280710816383362,0.9421856999397278,0.7688442468643188,0.7220655083656311,0.8160364627838135,0.9532978534698486,0.4356216490268707
s0234,,,,,,,,,
s0235,0.8880566358566284,0.1292372941970825,0.9539706110954284,0.9493981003761292,0.980684220790863,0.877554714679718,0.9051993489265442,0.9710391759872437,0.9196352362632751
s0238,0.7774850726127625,0.9323222637176514,0.9669039249420166,0.9545442461967468,0.9818210005760192,0.9341949820518494,0.9298157691955566,0.9798499941825868,0.948114573955536
s0241,0.7687948346138,,,,0.9227558970451356,,0.561383843421936,0.9555001854896544,0.6154496073722839
s0242,0.9643420577049256,0.7826471924781799,0.8969507217407227,0.961411714553833,0.9827896356582642,0.916517436504364,0.936774492263794,0.9714816808700562,0.8099938035011292
s0245,0.3318251669406891,,0.0299316216260194,0.853887677192688,0.9693201184272766,0.8943821787834167,0.7715023159980774,0.9739821553230286,0.9101501703262328
s0246,0.3525142669677734,0.9063756465911864,0.1085187643766403,0.7913337349891663,0.5519094467163086,,0.6596966981887817,,0.0036637492012232
s0247,0.5284578800201416,0.822419285774231,0.8787804245948792,0.0,0.9673166275024414,0.6247816681861877,0.7571181654930115,0.963149905204773,0.4769818484783172
s0249,0.0,,0.0,0.0,0.7604302763938904,0.0,0.5269861221313477,0.8099159598350525,0.3475031554698944
s0254,0.3826771676540375,,,,,,,,
s0259,,,,,,,,,
s0261,0.8913677334785461,0.8998855948448181,0.8882336020469666,0.8652529716491699,0.9854208827018738,0.6367847323417664,0.7810581922531128,0.8523988127708435,0.9207950830459596
s0263,0.0,,,,,,,,
s0265,0.8129761815071106,,0.8250277042388916,0.9526009559631348,0.8853486180305481,,0.812203586101532,,
s0270,0.7588322162628174,,,,0.9759751558303832,,0.8020897507667542,0.9676806330680848,0.9083817601203918
s0277,0.5208202600479126,,,,,,,,
s0278,,,,,,,,,
s0279,0.6684483289718628,,,,,,,,
s0281,0.3922055065631866,,,,,,,,
s0282,,,,,,,,,
s0283,0.8770828247070312,0.9315744638442992,0.9577051401138306,0.9477015137672424,0.9706369042396544,0.8420234322547913,0.9041710495948792,0.9565536379814148,0.9386801719665528
s0285,0.6940422058105469,,0.8304498195648193,0.9367720484733582,0.9691836833953856,0.7365050315856934,0.5276733636856079,0.9668919444084167,0.4295951128005981
s0287,0.9212109446525574,,0.8798465132713318,0.9134933352470398,0.9800417423248292,0.9349073767662048,0.9352139830589294,0.9818251132965088,0.935582995414734
s0288,0.3130118250846863,,,,,,,,
s0289,0.9429953694343568,,,,,,,,
s0290,0.9349212646484376,,0.95699280500412,0.9563066363334656,0.9760692119598388,0.925347626209259,0.6383454203605652,0.97046160697937,0.9498631358146667
s0291,0.8688870072364807,,0.9522634148597716,0.9463548064231871,0.9739413857460022,0.9452922940254213,0.947847068309784,0.9804368615150452,0.9585285782814026
s0292,0.2480452954769134,,,,,,,,
s0294,0.1215158924460411,,,,0.6980570554733276,,0.4619836807250976,0.3394628465175628,0.0
s0295,,,,,,,,,
s0296,0.0,,,,,,,,
s0298,0.7227334976196289,,0.9607712030410768,0.961602509021759,0.978594183921814,0.9167266488075256,0.8493639230728149,0.9822394847869872,0.869522213935852
s0301,0.8768976926803589,,,,,,0.945237159729004,,
